序号,用户名称,场景类别,是否位于S234省道/莱城大道,用电地址,用电电价,合同容量,运行容量,电压等级,供电单位,立户日期
1,济南市轉神有限公司,重卡,S234,山东****莱芜区***#东府,大工业用电,1600,1600,交流10kV,雪野供电所,2025/5/27 15:45
2,济南市样协材有限公司,重卡,S234,山东*案芜区*格委员会中心街5号,大工业用电,2500,2500,交流10kV,出野供电所,2025/6/30 17:36
3,济南*有限公司,重卡,S234,山东*+菜苑区神村民委员会110号,大工业用电,2000,2000,交流10kV,需野供电所,2025/4/26 9:00
4,山东****有限公司,重卡,S234,小;东****调城区****村民委员会大型北门路东,大工业用电,2000,2000,交流10kV,辛辛供电所,2025/5/81 6:38
5,青岛***有限公司,重卡,S234,山东****锅城区****加油站对面,工业用电大,1890,1890,交流10kV,里辛供电所,2023/5/1 0:00
6,济附市集芜*+*有限公司,重卡,S234,山东**装芜区***+*对过,工业用电大,1600,1600,交流10kV,口镇供电所,2025/7/16 15:27
7,济南市**有限公司,重卡,S234,儿东***莱芜区***村民委员会村用,大工业用电,800,,交流10kV,雪野供电所,2021/8/21 19:08
8,***有限公司山东分公司,重卡,S234,山东***锅妖区+**西50米,大工业用电,1000,1000,交流10kV,里辛供电所,2025/9/2900:0
9,济府****有限公司,重卡,S234,山东**#钢城区****村民委员会村南01号,大工业用电,1000,1000,交流10kV,辛庄供电所,2025/9/29 17:29
10,济南市林发展有限公司,重卡,S234,→:永省济府市浆芜区*+村民委如会中心街262号,工业用电大,2500,2500,交流10kV,口镇供电所,2025/12/18 15:16
11,驿有限公司山东分公司,重卡,S234,山东省济离市明城区***交义口东,业用电大工,1000,1000,交流10kV,虫辛供电所,2025/12/3111:1-1
12,济南市韩神有限公司,重卡,S234,山东省济南市莱芜区*林**北路西,大工业用电,1600,1600,交流10kV,雪野供电所,2025/11/23 16:10
13,济闭**+有限公司,重卡,S234,山东省济南市蔡芜区*林林路东,大工业用电,1000,1000,交流10kV,出野供电电所,2025/12/3114:-10
14,济阁林有限公司,重卡,S234,山东安济南市钢城区+***2引名返,大I业用巾,5000,5000,交流10kV,汶源供电眼务1务站,2025/12/19155:38
